,Entity,Code,Meningitis ,Alzheimer's disease and other dementias ,Parkinson's disease ,Nutritional deficiencies ,Malaria ,Drowning ,Interpersonal violence ,Maternal disorders ,HIV/AIDS ,Drug use disorders ,Tuberculosis ,Cardiovascular diseases ,Lower respiratory infections ,Neonatal disorders ,Alcohol use disorders ,Self,Exposure to forces of nature ,Diarrheal diseases ,Environmental heat and cold exposure ,Neoplasms ,Conflict and terrorism ,Diabetes mellitus ,Chronic kidney disease ,Poisonings ,Protein,Terrorism,Road injuries ,Chronic respiratory diseases ,Cirrhosis and other chronic liver diseases ,Digestive diseases ,"Fire, heat, and hot substances ",Acute hepatitis ,Total
0,Afghanistan,AFG,78666,41998,13397,71453,13924,56536,108228,129621,4282,7094,147637,1607042,822179,697534,3257,37054,16770,245832,2187,469611,280520,93207,134676,14530,70163,39193,208331,209857,98419,186959,13559,98108,12043648
1,Albania,ALB,1323,16549,4491,569,0,2397,5242,246,57,634,593,270603,26402,15567,458,4587,89,677,164,102577,2145,4055,7636,500,526,42,8522,22632,8717,14907,636,44,1047174
2,Algeria,DZA,15685,86914,22943,7138,70,24273,16702,29475,6101,10612,18089,2123720,179379,395714,2748,44966,4032,34410,1041,469379,30947,89035,154666,12337,6407,11066,369395,168453,91927,146527,27628,10492,9224542
3,American Samoa,ASM,30,143,69,60,0,120,101,30,15,0,30,2851,328,246,17,100,41,89,25,1474,10,970,512,0,60,0,164,612,181,341,0,0,17238
4,Andorra,AND,0,614,137,0,0,0,15,0,85,0,0,3526,390,24,30,220,0,16,0,5015,0,198,292,0,0,0,259,838,283,560,0,30,25064
5,Angola,AGO,110893,17704,4486,235181,317069,34337,20795,61545,244358,1190,473636,525047,564508,554921,4289,40895,742,810148,3520,237225,54203,73366,49080,14022,229863,2195,241350,101847,119381,190974,15712,14431,10737826
6,Antigua and Barbuda,ATG,40,428,117,87,0,120,119,0,258,6,11,5264,779,253,138,65,39,62,0,3004,1,1329,693,8,84,0,187,246,301,566,60,0,28530
7,Argentina,ARG,17548,261721,68278,44066,123,24300,72506,12521,48615,1535,30389,2836128,697414,173947,27147,127809,425,23155,1567,2113666,773,278201,357513,8654,41935,125,172081,463952,201480,422716,20991,1732,17106026
8,Armenia,ARM,423,15714,3739,817,5,4519,5250,377,264,225,3830,388635,18723,14572,2592,6308,13,3402,4172,154102,357,34565,7571,1182,324,37,10213,35416,24100,38666,2944,154,1566422
9,Australia,AUS,1975,210625,48084,3778,0,6818,9659,497,6067,23866,2554,1441279,87541,19244,13171,78158,259,3949,1272,1222858,55,100026,94106,1417,2899,16,57136,251004,50555,146403,4013,288,7779144
