DATE_DEBUT;DATE_FIN;P_SOUSCRITE;PART_FIXE_HT;PART_FIXE_TTC;PART_VARIABLE_HT;PART_VARIABLE_TTC
23/07/2012;31/07/2013;3;55,56;69,37;0,0822;0,1256
23/07/2012;31/07/2013;6;65,64;82,98;0,0828;0,1263
23/07/2012;31/07/2013;9;76,08;96,97;0,0848;0,1287
23/07/2012;31/07/2013;12;118,08;153,7;0,0848;0,1287
23/07/2012;31/07/2013;15;135,72;177,66;0,0848;0,1287
01/08/2013;31/10/2014;3;38,88;51,7;0,0883;0,1329
01/08/2013;31/10/2014;6;66,72;84,05;0,0883;0,1329
01/08/2013;31/10/2014;9;89,76;111,33;0,0883;0,1329
01/08/2013;31/10/2014;12;135;171,49;0,0883;0,1329
01/08/2013;31/10/2014;15;153,84;196,7;0,0883;0,1329
01/11/2014;31/07/2015;3;40,08;53,28;0,0909;0,1401
01/11/2014;31/07/2015;6;68,64;86,49;0,0909;0,1401
01/11/2014;31/07/2015;9;92,4;114,64;0,0909;0,1401
01/11/2014;31/07/2015;12;138,96;176,28;0,0909;0,1401
01/11/2014;31/07/2015;15;158,4;202,23;0,0909;0,1401
01/08/2015;31/07/2016;3;40,08;53,28;0,0909;0,1437
01/08/2015;31/07/2016;6;68,64;86,49;0,0909;0,1437
01/08/2015;31/07/2016;9;92,4;114,64;0,0909;0,1437
01/08/2015;31/07/2016;12;138,96;176,28;0,0909;0,1437
01/08/2015;31/07/2016;15;158,4;202,23;0,0909;0,1437
01/08/2016;31/07/2017;3;41,16;54,42;0,0932;0,1503
01/08/2016;31/07/2017;6;70,44;88,39;0,0932;0,1503
01/08/2016;31/07/2017;9;94,8;117,17;0,0932;0,1503
01/08/2016;31/07/2017;12;142,56;180,08;0,0932;0,1503
01/08/2016;31/07/2017;15;162,48;206,54;0,0932;0,1503
01/08/2017;31/01/2018;3;52,8;66,83;0,0968;0,1546
01/08/2017;31/01/2018;6;81,24;99,92;0,0901;0,1466
01/08/2017;31/01/2018;9;94,8;117,31;0,0915;0,1483
01/08/2017;31/01/2018;12;108,72;144,93;0,0915;0,1483
01/08/2017;31/01/2018;15;122,76;165,29;0,0915;0,1483
01/02/2018;31/07/2018;3;53,16;68,82;0,0975;0,1555
01/02/2018;31/07/2018;6;85,92;107,08;0,0902;0,1467
01/02/2018;31/07/2018;9;99,48;125,08;0,0915;0,1483
01/02/2018;31/07/2018;12;113,4;143,46;0,0915;0,1483
01/02/2018;31/07/2018;15;127,44;161,97;0,0915;0,1483
01/08/2018;31/05/2019;3;74,64;91,89;0,0888;0,145
01/08/2018;31/05/2019;6;88,44;110,55;0,0888;0,145
01/08/2018;31/05/2019;9;103,32;130,37;0,0902;0,1467
01/08/2018;31/05/2019;12;118,92;150,93;0,0902;0,1467
01/08/2018;31/05/2019;15;133,92;170,87;0,0902;0,1467
01/06/2019;31/07/2019;3;74,64;91,89;0,0954;0,1531
01/06/2019;31/07/2019;6;88,44;110,55;0,0954;0,1531
01/06/2019;31/07/2019;9;103,32;130,37;0,098;0,1562
01/06/2019;31/07/2019;12;118,92;150,93;0,098;0,1562
01/06/2019;31/07/2019;15;133,92;170,87;0,098;0,1562
01/08/2019;31/01/2020;3;79,2;97,63;0,0948;0,1524
01/08/2019;31/01/2020;6;95,76;119,72;0,0948;0,1524
01/08/2019;31/01/2020;9;112,56;142,07;0,0974;0,1555
01/08/2019;31/01/2020;12;129,72;164,79;0,0974;0,1555
01/08/2019;31/01/2020;15;145,32;185,87;0,0974;0,1555
01/02/2020;31/07/2020;3;80,64;99,48;0,0965;0,1546
01/02/2020;31/07/2020;6;97,2;121,68;0,0965;0,1546
01/02/2020;31/07/2020;9;114;144,24;0,0999;0,1587
01/02/2020;31/07/2020;12;131,04;167,04;0,0999;0,1587
01/02/2020;31/07/2020;15;146,76;188,16;0,0999;0,1587
01/08/2020;31/01/2021;3;83,52;103,44;0,0974;0,1557
01/08/2020;31/01/2021;6;102,24;128,52;0,0974;0,1557
01/08/2020;31/01/2021;9;120,84;153,48;0,1008;0,1597
01/08/2020;31/01/2021;12;139,44;178,44;0,1008;0,1597
01/08/2020;31/01/2021;15;157,32;202,32;0,1008;0,1597
01/02/2021;31/07/2021;3;82,92;102,83;0,0994;0,1582
01/02/2021;31/07/2021;6;101,52;127,79;0,0994;0,1582
01/02/2021;31/07/2021;9;120,24;152,85;0,1034;0,163
01/02/2021;31/07/2021;12;138,72;177,64;0,1034;0,163
01/02/2021;31/07/2021;15;156,72;201,74;0,1034;0,163
01/08/2021;;3;86,76;108,08;0,0974;0,1558
01/08/2021;;6;112,2;142,16;0,0974;0,1558
01/08/2021;;9;138,48;177,39;0,1013;0,1605
01/08/2021;;12;165,24;213,26;0,1013;0,1605
01/08/2021;;15;190,2;246,70;0,1013;0,1605
;;;;;;
;;;;;;
